store,key_len,value_len,num_keys,num_gets,slots,trial,insert_mops,get_mops
KVStore,16,16,10000,10000000,20000,1,15.34,40.30
KVStore,16,16,10000,10000000,20000,2,17.84,40.68
KVStore,16,16,10000,10000000,20000,3,16.81,40.09
KVStore,16,16,10000,10000000,20000,4,17.14,40.14
KVStore,16,16,10000,10000000,20000,5,17.71,40.29
std::unordered_map,16,16,10000,10000000,20000,1,18.81,38.93
std::unordered_map,16,16,10000,10000000,20000,2,26.11,39.09
std::unordered_map,16,16,10000,10000000,20000,3,27.29,39.97
std::unordered_map,16,16,10000,10000000,20000,4,27.45,39.43
std::unordered_map,16,16,10000,10000000,20000,5,27.51,39.29
KVStoreOpen,16,16,10000,10000000,20000,1,34.47,32.84
KVStoreOpen,16,16,10000,10000000,20000,2,35.82,32.61
KVStoreOpen,16,16,10000,10000000,20000,3,35.18,26.33
KVStoreOpen,16,16,10000,10000000,20000,4,30.11,32.89
KVStoreOpen,16,16,10000,10000000,20000,5,37.32,32.51
KVStoreArena,16,16,10000,10000000,20000,1,26.13,26.37
KVStoreArena,16,16,10000,10000000,20000,2,27.70,25.49
KVStoreArena,16,16,10000,10000000,20000,3,26.82,26.05
KVStoreArena,16,16,10000,10000000,20000,4,24.50,26.37
KVStoreArena,16,16,10000,10000000,20000,5,26.95,26.19
KVStore,16,64,10000,10000000,20000,1,10.61,29.56
KVStore,16,64,10000,10000000,20000,2,13.96,30.50
KVStore,16,64,10000,10000000,20000,3,13.46,30.61
KVStore,16,64,10000,10000000,20000,4,13.10,30.15
KVStore,16,64,10000,10000000,20000,5,13.78,30.65
std::unordered_map,16,64,10000,10000000,20000,1,13.58,30.86
std::unordered_map,16,64,10000,10000000,20000,2,16.83,29.05
std::unordered_map,16,64,10000,10000000,20000,3,16.62,31.04
std::unordered_map,16,64,10000,10000000,20000,4,16.84,29.05
std::unordered_map,16,64,10000,10000000,20000,5,16.68,30.22
KVStoreOpen,16,64,10000,10000000,20000,1,18.55,25.85
KVStoreOpen,16,64,10000,10000000,20000,2,21.11,25.63
KVStoreOpen,16,64,10000,10000000,20000,3,21.39,25.33
