store,key_len,value_len,num_keys,num_gets,threads,write_every,trial,mops
LockedStore,16,16,1000000,10000000,1,0,median,4.04
LockedStore,16,16,1000000,10000000,2,0,median,4.20
LockedStore,16,16,1000000,10000000,4,0,median,3.09
LockedStore,16,16,1000000,10000000,8,0,median,2.28
LockedStore,16,16,1000000,10000000,1,10,median,4.00
LockedStore,16,16,1000000,10000000,2,10,median,2.67
LockedStore,16,16,1000000,10000000,4,10,median,2.01
LockedStore,16,16,1000000,10000000,8,10,median,0.94
ShardedStore,16,16,1000000,10000000,1,0,median,4.03
ShardedStore,16,16,1000000,10000000,2,0,median,8.92
ShardedStore,16,16,1000000,10000000,4,0,median,12.28
ShardedStore,16,16,1000000,10000000,8,0,median,8.25
ShardedStore,16,16,1000000,10000000,1,10,median,3.73
ShardedStore,16,16,1000000,10000000,2,10,median,5.84
ShardedStore,16,16,1000000,10000000,4,10,median,7.06
ShardedStore,16,16,1000000,10000000,8,10,median,5.54
LockedStore,16,256,1000000,10000000,1,0,median,2.37
LockedStore,16,256,1000000,10000000,2,0,median,3.95
LockedStore,16,256,1000000,10000000,4,0,median,2.59
LockedStore,16,256,1000000,10000000,8,0,median,2.23
LockedStore,16,256,1000000,10000000,1,10,median,4.60
LockedStore,16,256,1000000,10000000,2,10,median,2.48
LockedStore,16,256,1000000,10000000,4,10,median,1.94
LockedStore,16,256,1000000,10000000,8,10,median,0.99
ShardedStore,16,256,1000000,10000000,1,0,median,4.59
ShardedStore,16,256,1000000,10000000,2,0,median,9.05
ShardedStore,16,256,1000000,10000000,4,0,median,14.67
ShardedStore,16,256,1000000,10000000,8,0,median,8.89
ShardedStore,16,256,1000000,10000000,1,10,median,4.58
ShardedStore,16,256,1000000,10000000,2,10,median,7.21
ShardedStore,16,256,1000000,10000000,4,10,median,8.04
ShardedStore,16,256,1000000,10000000,8,10,median,6.30
