store,key_len,value_len,num_keys,num_gets,slots,trial,insert_mops,get_mops
KVStore,16,16,1000,10000000,2000,1,12.13,47.48
KVStore,16,16,1000,10000000,2000,2,18.56,48.75
KVStore,16,16,1000,10000000,2000,3,18.36,48.59
KVStore,16,16,1000,10000000,2000,4,18.29,48.50
KVStore,16,16,1000,10000000,2000,5,18.82,48.66
std::unordered_map,16,16,1000,10000000,2000,1,23.08,57.92
std::unordered_map,16,16,1000,10000000,2000,2,29.16,58.36
std::unordered_map,16,16,1000,10000000,2000,3,29.20,58.26
std::unordered_map,16,16,1000,10000000,2000,4,28.74,58.28
std::unordered_map,16,16,1000,10000000,2000,5,28.95,58.39
KVStoreOpen,16,16,1000,10000000,2000,1,32.83,33.98
KVStoreOpen,16,16,1000,10000000,2000,2,36.47,33.98
KVStoreOpen,16,16,1000,10000000,2000,3,33.71,33.94
KVStoreOpen,16,16,1000,10000000,2000,4,34.43,33.90
KVStoreOpen,16,16,1000,10000000,2000,5,34.68,33.94
KVStoreArena,16,16,1000,10000000,2000,1,18.59,30.77
KVStoreArena,16,16,1000,10000000,2000,2,19.02,30.87
KVStoreArena,16,16,1000,10000000,2000,3,18.85,30.78
KVStoreArena,16,16,1000,10000000,2000,4,18.96,30.72
KVStoreArena,16,16,1000,10000000,2000,5,19.51,30.71
KVStore,16,16,4000,10000000,8000,1,13.85,42.12
KVStore,16,16,4000,10000000,8000,2,17.58,42.78
KVStore,16,16,4000,10000000,8000,3,17.79,43.08
KVStore,16,16,4000,10000000,8000,4,17.74,42.48
KVStore,16,16,4000,10000000,8000,5,17.97,42.53
std::unordered_map,16,16,4000,10000000,8000,1,22.34,43.94
std::unordered_map,16,16,4000,10000000,8000,2,26.79,43.43
std::unordered_map,16,16,4000,10000000,8000,3,27.22,44.39
std::unordered_map,16,16,4000,10000000,8000,4,27.67,45.09
std::unordered_map,16,16,4000,10000000,8000,5,27.66,44.35
KVStoreOpen,16,16,4000,10000000,8000,1,33.03,33.48
KVStoreOpen,16,16,4000,10000000,8000,2,33.98,33.36
KVStoreOpen,16,16,4000,10000000,8000,3,32.97,32.98
KVStoreOpen,16,16,4000,10000000,8000,4,35.63,32.97
KVStoreOpen,16,16,4000,10000000,8000,5,34.50,33.57
KVStoreArena,16,16,4000,10000000,8000,1,26.55,26.98
KVStoreArena,16,16,4000,10000000,8000,2,23.17,27.62
KVStoreArena,16,16,4000,10000000,8000,3,22.87,27.05
KVStoreArena,16,16,4000,10000000,8000,4,25.78,27.38
KVStoreArena,16,16,4000,10000000,8000,5,25.98,27.35
KVStore,16,16,16000,10000000,32000,1,15.48,41.99
KVStore,16,16,16000,10000000,32000,2,16.71,41.80
KVStore,16,16,16000,10000000,32000,3,17.08,40.25
KVStore,16,16,16000,10000000,32000,4,17.29,42.69
KVStore,16,16,16000,10000000,32000,5,17.49,41.79
std::unordered_map,16,16,16000,10000000,32000,1,23.02,40.99
std::unordered_map,16,16,16000,10000000,32000,2,26.05,42.72
std::unordered_map,16,16,16000,10000000,32000,3,27.07,41.77
std::unordered_map,16,16,16000,10000000,32000,4,26.34,42.77
std::unordered_map,16,16,16000,10000000,32000,5,26.69,32.19
KVStoreOpen,16,16,16000,10000000,32000,1,27.24,33.24
KVStoreOpen,16,16,16000,10000000,32000,2,35.51,34.16
KVStoreOpen,16,16,16000,10000000,32000,3,37.70,34.15
KVStoreOpen,16,16,16000,10000000,32000,4,36.98,33.37
KVStoreOpen,16,16,16000,10000000,32000,5,35.79,33.20
KVStoreArena,16,16,16000,10000000,32000,1,26.43,26.15
KVStoreArena,16,16,16000,10000000,32000,2,27.05,26.54
KVStoreArena,16,16,16000,10000000,32000,3,25.78,26.30
