store,key_len,value_len,num_keys,num_gets,trial,insert_mops,get_mops
KVStore,16,16,1000000,10000000,1,4.79,16.43
KVStore,16,16,1000000,10000000,2,5.28,16.69
KVStore,16,16,1000000,10000000,3,5.37,16.85
KVStore,16,16,1000000,10000000,4,5.40,16.53
KVStore,16,16,1000000,10000000,5,5.41,16.96
std::unordered_map,16,16,1000000,10000000,1,10.08,13.80
std::unordered_map,16,16,1000000,10000000,2,9.93,13.65
std::unordered_map,16,16,1000000,10000000,3,10.44,13.90
std::unordered_map,16,16,1000000,10000000,4,10.76,14.02
std::unordered_map,16,16,1000000,10000000,5,10.51,13.71
KVStoreOpen,16,16,1000000,10000000,1,10.47,19.40
KVStoreOpen,16,16,1000000,10000000,2,13.56,19.25
KVStoreOpen,16,16,1000000,10000000,3,13.39,19.43
KVStoreOpen,16,16,1000000,10000000,4,13.58,18.53
KVStoreOpen,16,16,1000000,10000000,5,10.53,18.32
KVStore,16,24,1000000,10000000,1,4.65,9.22
KVStore,16,24,1000000,10000000,2,4.63,9.28
KVStore,16,24,1000000,10000000,3,4.77,9.35
KVStore,16,24,1000000,10000000,4,4.81,9.35
KVStore,16,24,1000000,10000000,5,4.42,9.33
std::unordered_map,16,24,1000000,10000000,1,6.63,13.73
std::unordered_map,16,24,1000000,10000000,2,7.56,13.41
std::unordered_map,16,24,1000000,10000000,3,8.02,13.45
std::unordered_map,16,24,1000000,10000000,4,7.58,13.05
std::unordered_map,16,24,1000000,10000000,5,7.92,13.49
KVStoreOpen,16,24,1000000,10000000,1,7.58,11.45
KVStoreOpen,16,24,1000000,10000000,2,9.78,10.65
KVStoreOpen,16,24,1000000,10000000,3,9.24,9.91
KVStoreOpen,16,24,1000000,10000000,4,7.96,11.19
KVStoreOpen,16,24,1000000,10000000,5,9.42,11.28
KVStore,16,32,1000000,10000000,1,4.12,9.06
KVStore,16,32,1000000,10000000,2,4.22,9.12
KVStore,16,32,1000000,10000000,3,4.35,9.09
KVStore,16,32,1000000,10000000,4,4.31,9.11
KVStore,16,32,1000000,10000000,5,4.29,8.99
std::unordered_map,16,32,1000000,10000000,1,6.18,12.95
std::unordered_map,16,32,1000000,10000000,2,7.10,13.06
std::unordered_map,16,32,1000000,10000000,3,7.30,11.30
std::unordered_map,16,32,1000000,10000000,4,5.13,11.13
std::unordered_map,16,32,1000000,10000000,5,7.32,12.84
KVStoreOpen,16,32,1000000,10000000,1,8.03,10.82
KVStoreOpen,16,32,1000000,10000000,2,9.30,10.95
KVStoreOpen,16,32,1000000,10000000,3,8.23,10.00
KVStoreOpen,16,32,1000000,10000000,4,9.21,10.73
KVStoreOpen,16,32,1000000,10000000,5,9.32,10.70
KVStore,16,40,1000000,10000000,1,3.86,8.65
KVStore,16,40,1000000,10000000,2,4.22,8.59
KVStore,16,40,1000000,10000000,3,4.13,8.39
KVStore,16,40,1000000,10000000,4,4.07,8.35
KVStore,16,40,1000000,10000000,5,4.29,8.32
std::unordered_map,16,40,1000000,10000000,1,5.99,12.37
std::unordered_map,16,40,1000000,10000000,2,7.12,11.88
std::unordered_map,16,40,1000000,10000000,3,7.18,12.50
std::unordered_map,16,40,1000000,10000000,4,5.74,9.89
std::unordered_map,16,40,1000000,10000000,5,6.49,11.31
KVStoreOpen,16,40,1000000,10000000,1,6.49,9.35
KVStoreOpen,16,40,1000000,10000000,2,6.60,9.98
KVStoreOpen,16,40,1000000,10000000,3,8.99,10.18
KVStoreOpen,16,40,1000000,10000000,4,8.93,8.51
KVStoreOpen,16,40,1000000,10000000,5,6.48,10.52
KVStore,16,48,1000000,10000000,1,3.97,8.21
KVStore,16,48,1000000,10000000,2,4.47,8.27
KVStore,16,48,1000000,10000000,3,4.51,8.49
KVStore,16,48,1000000,10000000,4,4.50,7.39
KVStore,16,48,1000000,10000000,5,3.44,8.06
std::unordered_map,16,48,1000000,10000000,1,6.70,12.64
std::unordered_map,16,48,1000000,10000000,2,6.91,12.84
std::unordered_map,16,48,1000000,10000000,3,7.26,13.34
std::unordered_map,16,48,1000000,10000000,4,7.32,12.92
std::unordered_map,16,48,1000000,10000000,5,7.31,12.01
KVStoreOpen,16,48,1000000,10000000,1,5.81,9.65
KVStoreOpen,16,48,1000000,10000000,2,8.93,10.05
KVStoreOpen,16,48,1000000,10000000,3,8.77,10.23
KVStoreOpen,16,48,1000000,10000000,4,8.59,10.57
KVStoreOpen,16,48,1000000,10000000,5,9.49,10.71
KVStore,16,56,1000000,10000000,1,4.23,8.19
KVStore,16,56,1000000,10000000,2,4.56,8.26
KVStore,16,56,1000000,10000000,3,4.62,8.31
KVStore,16,56,1000000,10000000,4,4.64,8.16
KVStore,16,56,1000000,10000000,5,4.68,8.17
std::unordered_map,16,56,1000000,10000000,1,5.32,12.13
std::unordered_map,16,56,1000000,10000000,2,5.72,11.89
std::unordered_map,16,56,1000000,10000000,3,5.83,12.12
std::unordered_map,16,56,1000000,10000000,4,5.41,11.75
std::unordered_map,16,56,1000000,10000000,5,5.87,12.01
KVStoreOpen,16,56,1000000,10000000,1,7.24,10.09
KVStoreOpen,16,56,1000000,10000000,2,9.24,10.30
KVStoreOpen,16,56,1000000,10000000,3,9.08,10.30
KVStoreOpen,16,56,1000000,10000000,4,9.40,10.49
KVStoreOpen,16,56,1000000,10000000,5,9.39,10.30
KVStore,16,64,1000000,10000000,1,4.39,8.75
KVStore,16,64,1000000,10000000,2,4.54,8.62
KVStore,16,64,1000000,10000000,3,4.59,8.63
KVStore,16,64,1000000,10000000,4,4.78,8.60
KVStore,16,64,1000000,10000000,5,4.69,8.79
std::unordered_map,16,64,1000000,10000000,1,7.15,13.39
std::unordered_map,16,64,1000000,10000000,2,7.73,13.48
std::unordered_map,16,64,1000000,10000000,3,7.76,13.15
std::unordered_map,16,64,1000000,10000000,4,7.84,13.57
std::unordered_map,16,64,1000000,10000000,5,7.83,13.66
KVStoreOpen,16,64,1000000,10000000,1,7.11,10.77
KVStoreOpen,16,64,1000000,10000000,2,9.54,10.62
KVStoreOpen,16,64,1000000,10000000,3,9.61,10.58
KVStoreOpen,16,64,1000000,10000000,4,9.68,10.76
KVStoreOpen,16,64,1000000,10000000,5,8.80,10.50
KVStore,16,64,1000000,10000000,1,4.07,8.81
KVStore,16,64,1000000,10000000,2,4.62,8.92
KVStore,16,64,1000000,10000000,3,4.61,8.78
KVStore,16,64,1000000,10000000,4,4.60,8.72
KVStore,16,64,1000000,10000000,5,4.78,8.96
std::unordered_map,16,64,1000000,10000000,1,6.27,12.67
std::unordered_map,16,64,1000000,10000000,2,6.82,13.14
std::unordered_map,16,64,1000000,10000000,3,7.32,13.11
std::unordered_map,16,64,1000000,10000000,4,6.78,12.43
std::unordered_map,16,64,1000000,10000000,5,7.53,13.83
KVStoreOpen,16,64,1000000,10000000,1,7.41,10.68
KVStoreOpen,16,64,1000000,10000000,2,9.30,10.76
KVStoreOpen,16,64,1000000,10000000,3,9.39,10.92
KVStoreOpen,16,64,1000000,10000000,4,9.49,10.89
KVStoreOpen,16,64,1000000,10000000,5,9.25,10.79
KVStoreArena,16,64,1000000,10000000,1,8.00,9.57
KVStoreArena,16,64,1000000,10000000,2,8.52,9.47
KVStoreArena,16,64,1000000,10000000,3,8.76,9.62
KVStoreArena,16,64,1000000,10000000,4,8.76,9.38
KVStoreArena,16,64,1000000,10000000,5,8.81,9.61
KVStore,64,64,1000000,10000000,1,2.32,5.18
KVStore,64,64,1000000,10000000,2,2.92,5.34
KVStore,64,64,1000000,10000000,3,3.02,4.81
KVStore,64,64,1000000,10000000,4,2.20,5.09
KVStore,64,64,1000000,10000000,5,2.98,5.20
std::unordered_map,64,64,1000000,10000000,1,5.72,5.93
std::unordered_map,64,64,1000000,10000000,2,6.30,5.98
std::unordered_map,64,64,1000000,10000000,3,6.79,6.03
